Quand ﻿Quand
SCONJ SCONJ
Mrs Mrs
PROPN PROPN 
Mrs Mrs
PROPN PROPN 
Weasley Weasley
PROPN PROPN
vint vint
VERB VERB
le le
PRON PRON
réveiller réveiller
NOUN VERB
réveiller réveiller
NOUN VERB
en en
ADP ADP
lui lui
PRON PRON
secouant secouant
VERB VERB
l' l'
DET DET
épaule épaule
NOUN NOUN
, ,
PUNCT PUNCT
Harry Harry
PROPN PROPN
eut eut
VERB VERB
l' l'
DET DET
impression impression
NOUN NOUN
qu' qu'
PRON SCONJ
qu' qu'
PRON SCONJ
il il
PRON PROPN
il il
PRON PROPN
venait venait
VERB VERB
tout tout
ADV ADV
juste juste
ADV ADV
de de
ADP ADP
se se
PRON PRON
coucher coucher
VERB VERB
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
C' C'
PRON PRON
est est
AUX VERB
est est
AUX VERB
l' l'
DET DET
heure heure
NOUN NOUN
d' d’
ADP ADP
y y
PRON PRON
aller aller
VERB VERB
, ,
PUNCT PUNCT
Harry Harry
PROPN PROPN
, ,
PUNCT PUNCT
mon mon
DET DET
chéri chéri
NOUN NOUN
, ,
PUNCT PUNCT
murmura murmura
NOUN VERB
murmura murmura
NOUN VERB
-t -t-elle
PRON PRON
-elle -t-elle
PROPN PRON
-elle -t-elle
PROPN PRON
avant avant
ADP ADV
avant avant
ADP ADV
d' d'
ADP ADP
aller aller
VERB VERB
réveiller réveiller
VERB VERB
Ron Ron
PROPN PROPN
. .
PUNCT PUNCT
Harry Harry
PROPN PROPN
chercha chercha
ADJ VERB
chercha chercha
ADJ VERB
ses ses
DET DET
lunettes lunettes
NOUN NOUN
à à
ADP ADP
tâtons tâtons
NOUN NOUN
, ,
PUNCT PUNCT
les les
DET DET
mit mit
VERB VERB
sur sur
ADP ADP
son son
DET DET
nez nez
NOUN NOUN
et et
CCONJ CCONJ
se se
PRON PRON
redressa redressa
VERB VERB
dans dans
ADP ADP
son son
DET DET
lit lit
NOUN NOUN
. .
PUNCT PUNCT
Dehors Dehors
ADV ADV
, ,
PUNCT PUNCT
il il
PRON PRON
faisait faisait
VERB VERB
encore encore
ADV ADV
nuit nuit
NOUN NOUN
. .
PUNCT PUNCT
Ron Ron
NOUN PROPN
Ron Ron
NOUN PROPN
marmonna marmonna
VERB VERB
quelque quelque
DET DET
chose chose
NOUN NOUN
d' d'
ADP ADP
indistinct indistinct
NOUN ADJ
indistinct indistinct
NOUN ADJ
lorsque lorsque
SCONJ SCONJ
sa sa
DET DET
mère mère
NOUN NOUN
le le
PRON DET
le le
PRON DET
tira tira
VERB VERB
du du
ADP DET
du du
ADP DET
sommeil sommeil
NOUN NOUN
. .
PUNCT PUNCT
Au Au
ADP ADP
pied pied
NOUN NOUN
de de
ADP ADP
son son
DET DET
lit lit
NOUN NOUN
, ,
PUNCT PUNCT
Harry Harry
PROPN PROPN
vit vit
VERB VERB
deux deux
NUM NUM
grandes grandes
ADJ ADJ
silhouettes silhouettes
NOUN NOUN
échevelées échevelées
VERB ADJ
échevelées échevelées
VERB ADJ
qui qui
PRON PRON
émergeaient émergeaient
NOUN VERB
émergeaient émergeaient
NOUN VERB
d' d'
ADP ADP
un un
DET DET
enchevêtrement enchevêtrement
NOUN NOUN
de de
ADP ADP
couvertures couvertures
ADJ NOUN
couvertures couvertures
ADJ NOUN
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Déjà Déjà
ADV ADV
l' l'
DET DET
heure heure
NOUN NOUN
? ?
PUNCT PUNCT
dit dit
VERB VERB
Fred Fred
PROPN PROPN
d' d'
ADP ADP
une une
DET DET
voix voix
NOUN NOUN
ensommeillée ensommeillée
ADJ ADJ
. .
PUNCT PUNCT
Ils Ils
PRON PRON
s' s'
PRON PRON
habillèrent habillèrent
VERB VERB
en en
ADP ADP
silence silence
NOUN NOUN
, ,
PUNCT PUNCT
trop trop
